First name,Last name,Affliation
Cristina,Abad,Escuela Superior Politecnica del Litoral
Vasilios,Andrikopoulos,University of Groningen
Atakan,Aral,University of Vienna
Rami,Bahsoon,University of Birmingham
André,Bauer,University of Wuerzburg
David,Bermbach,TU Berlin
Luiz F.,Bittencourt,University of Campinas
Ivona,Brandic,TU Vienna
Francisco,Brasileiro,UFCG
Antonio,Brogi,Università di Pisa
Rodrigo N.,Calheiros,Western Sydney University
Prasad,Calyam,University of Missouri
Valeria,Cardellini,University of Roma Tor Vergata
Simon,Caton,University College Dublin
Joel,Coffman,United States Air Force Academy
Alexandru,Costan,INRIA
Olivia,Das,Ryerson University
Vincenzo,De Maio,Vienna University of Technology
Cesar,De Rose,PUCRS
Xiaoning,Ding,New Jersey Institute of Technology
Karim,Djemame,University of Leeds
Katerina,Doka,National Technical University of Athens
Juan J.,Durillo,"Leibniz Supercomputing Centre (LRZ), Munich"
Thomas,Fahringer,"University of Innsbruck, Austria"
Felix,Freitag,Universitat Politècnica de Catalunya
Peter,Garraghan,Lancaster University
Sukhpal Singh,Gill,Queen Mary University of London
Alfredo,Goldman,University of São Paulo
Madhu,Govindaraju,SUNY Binghamton
Daniel,Grosu,Wayne State University
Qiang,Guan,Kent State University
Marco,Guazzone,University of Piemonte Orientale
Beilei,Jiang,University of North Texas
Attila,Kertesz,University of Szeged
In Kee,Kim,University of Georgia
Tamas,Kiss,University of Westminster
Dalibor,Klusacek,"CESNET, Brno, Czech Republic"
Kenichi,Kourai,Kyushu Institute of Technology
Chung,Lawrence,University of Texas at Dallas
Adrien,Lèbre,Inria / Ecole des Mines
Kyungyong,Lee,Kookmin University
Ming,Li,The University of Texas at Arlington
Yao,Liu,SUNY Binghamton
Xiaoyi,Lu,"University of California, Merced"
Maciej,Malawski,AGH University of Science and Technology
Anirban,Mandal,Renaissance Computing Institute
Zoltan,Mann,University Duisburg-Essen
Raffaele,Montella,University of Naples Parthenope 
Kirill,Morozov,University of North Texas
Lidia,Ogiela,Pedagogical University of Krakow
Habeeb,Olufowobi,University of Texas at Arlington
Claus,Pahl,Free University of Bozen-Bolzano
Sangmi,Pallickara,Colorado State University
Shrideep,Pallickara, Colorado State University
George,Pallis,University of Cyprus
Dhabaleswar,Panda,The Ohio State University
Nikos,Parlavantzas,INSA Rennes
Radu,Prodan,University of Klagenfurt
Zhi,Qiao,Microsoft
Jia,Rao,University of Texas at Arlington
Shaolei,Ren,"University of California, Riverside"
Ivan,Rodero,Rutgers University
Gonzalo P.,Rodrigo,Apple
Rizos,Sakellariou,The University of Manchester
Mohammad,Shojafar,University of Surrey
Tong,Shu,Southern Illinois University Carbondale
Alex,Sim,Lawrence Berkeley National Laboratory
Evgenia,Smirni,College of William and Mary
Vlado,Stankovski,University of Ljubljana
Adel N.,Toosi,Monash University
Demetris,Trihinas,University of Nicosia
Cihan,Tunc,University of North Texas
Massimo,Villari,University of Messina
Vladimir,Vlassov,KTH Royal Institute of Technology
Guido,Wirtz,University of Bamberg
Muhammad,Zakarya,University of Surrey
Nadia,Zeghib,Abdelhamid Mehri University
Hui,Zhao,University of North Texas
